date.time,date,time,site,plot,location,detection,common.name,scientific.name,genus,family,class,assessment.method,season,trip,participants,temperature.C,barometric.pressure.mbar,cloud cover.%,max.wind.kmh,average.wind.kmh,humidity.%,rain,start,end,regenerated.tail,notes
2023-11-20T22:16:00Z,2023-11-21T00:00:00Z,08:16,dry_site,70,off,heard,Laughing Kookaburra,Dacelo novaeguineae,Dacelo,Alcedinidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:16:00Z,2023-11-21T00:00:00Z,08:16,dry_site,70,fly over,seen,Radjah Shelduck,Radjah radjah,Radjah,Anatidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:16:00Z,2023-11-21T00:00:00Z,08:16,dry_site,70,fly over,seen,Radjah Shelduck,Radjah radjah,Radjah,Anatidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:18:00Z,2023-11-21T00:00:00Z,08:18,dry_site,70,fly over,seen,Noisy Friarbird,Philemon corniculatus,Philemon,Meliphagidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:19:00Z,2023-11-21T00:00:00Z,08:19,dry_site,70,off,heard,Laughing Kookaburra,Dacelo novaeguineae,Dacelo,Alcedinidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:19:00Z,2023-11-21T00:00:00Z,08:19,dry_site,70,off,heard,Laughing Kookaburra,Dacelo novaeguineae,Dacelo,Alcedinidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:21:00Z,2023-11-21T00:00:00Z,08:21,dry_site,70,off,seen,Little Friarbird,Philemon citreogularis,Philemon,Meliphagidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:22:00Z,2023-11-21T00:00:00Z,08:22,dry_site,70,off,heard,Torresian Crow,Corvus orru,Corvus,Corvidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:23:00Z,2023-11-21T00:00:00Z,08:23,dry_site,70,off,heard,Double-barred Finch,Stizoptera bichenovii,Stizoptera,Estrildidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:23:00Z,2023-11-21T00:00:00Z,08:23,dry_site,70,off,heard,Double-barred Finch,Stizoptera bichenovii,Stizoptera,Estrildidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:23:00Z,2023-11-21T00:00:00Z,08:23,dry_site,70,off,heard,Double-barred Finch,Stizoptera bichenovii,Stizoptera,Estrildidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-20T22:23:00Z,2023-11-21T00:00:00Z,08:23,dry_site,70,off,heard,Double-barred Finch,Stizoptera bichenovii,Stizoptera,Estrildidae,Aves,birding,wet,trip1,Jacopo Bartholomew and Michelle Martinez,29.1,969,70,2.3,1.5,62.7,0,08:08,08:23,NA,NA
2023-11-21T22:55:00Z,2023-11-22T00:00:00Z,08:55,wet_site,107,on,seen,Dubious Gehyra,Gehyra dubia,Gehyra,Gekkonidae,Reptilia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:55:00Z,2023-11-22T00:00:00Z,08:55,wet_site,107,on,seen,Dubious Gehyra,Gehyra dubia,Gehyra,Gekkonidae,Reptilia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:56:00Z,2023-11-22T00:00:00Z,08:56,wet_site,107,on,seen,Cane Toad,Rhinella marina,Rhinella,Bufonidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:57:00Z,2023-11-22T00:00:00Z,08:57,wet_site,107,on,seen,Cane Toad,Rhinella marina,Rhinella,Bufonidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:57:00Z,2023-11-22T00:00:00Z,08:57,wet_site,107,on,seen,Ornate Burrowing Frog,Platyplectrum ornatum,Platyplectrum,Limnodynastidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:57:00Z,2023-11-22T00:00:00Z,08:57,wet_site,107,on,seen,Ornate Burrowing Frog,Platyplectrum ornatum,Platyplectrum,Limnodynastidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:58:00Z,2023-11-22T00:00:00Z,08:58,wet_site,107,on,seen,Cane Toad,Rhinella marina,Rhinella,Bufonidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:58:00Z,2023-11-22T00:00:00Z,08:58,wet_site,107,on,seen,Cane Toad,Rhinella marina,Rhinella,Bufonidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:58:00Z,2023-11-22T00:00:00Z,08:58,wet_site,107,on,seen,Dubious Gehyra,Gehyra dubia,Gehyra,Gekkonidae,Reptilia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T22:58:00Z,2023-11-22T00:00:00Z,08:58,wet_site,107,on,seen,Dubious Gehyra,Gehyra dubia,Gehyra,Gekkonidae,Reptilia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T23:00:00Z,2023-11-22T00:00:00Z,09:00,wet_site,107,on,seen,Ornate Burrowing Frog,Platyplectrum ornatum,Platyplectrum,Limnodynastidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T23:01:00Z,2023-11-22T00:00:00Z,09:01,wet_site,107,on,seen,Ornate Burrowing Frog,Platyplectrum ornatum,Platyplectrum,Limnodynastidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T23:01:00Z,2023-11-22T00:00:00Z,09:01,wet_site,107,on,seen,Ornate Burrowing Frog,Platyplectrum ornatum,Platyplectrum,Limnodynastidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T23:02:00Z,2023-11-22T00:00:00Z,09:02,wet_site,107,on,seen,Cane Toad,Rhinella marina,Rhinella,Bufonidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T23:02:00Z,2023-11-22T00:00:00Z,09:02,wet_site,107,on,seen,Green Tree Frog,Litoria caerulea,Litoria,Pelodryadidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T23:07:00Z,2023-11-22T00:00:00Z,09:07,wet_site,107,on,seen,Cane Toad,Rhinella marina,Rhinella,Bufonidae,Amphibia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
2023-11-21T23:08:00Z,2023-11-22T00:00:00Z,09:08,wet_site,107,on,seen,Dubious Gehyra,Gehyra dubia,Gehyra,Gekkonidae,Reptilia,spotlighting,wet,trip1,Jacopo Bartholomew and Michelle Martinez,28.5,957.9,100,1.4,0,85,0,08:52,09:11,NA,NA
